document_id,path,sha256,page_count,text_char_count,likely_scanned_or_ocr_hostile,image_object_count
blurred_text_extraction_limitations,docs/external/obsidian-beast/Blurred Text Extraction Limitations.pdf,sha256:71ca78bd9bb10b4473b0fb23dfe424b49e1c98a4d59b1bbe4a7b190a8508c83c,17,23929,False,0
inference_economy_v0_9,evidence/inference_economy_v0_9.pdf,sha256:d02f085b66a539674baf60a659dec16ac19563dfedcb14307e14aae78e471513,27,115354,False,3
inference_economy_paper,assets/release/commons-media/inference-economy-paper.pdf,sha256:d02f085b66a539674baf60a659dec16ac19563dfedcb14307e14aae78e471513,27,115354,False,3
